Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
1,Stephen Curry,34,2,2,78,0.639,0.598,1.5,10.5,6.3,17.2,0,1.1,18.1,30.1,108,121,17.2
2,Klay Thompson,32,2,2,75,0.639,0.625,0,15.2,8.1,16.2,1.3,0,8.4,20.3,124,118,16
3,Andrew Wiggins,27,2,1,67,0.518,0.5,5.3,7.9,6.7,2.3,0.7,4.3,5,25,105,118,11.5
4,Gary Payton II,30,2,0,47,0.756,0.769,10.4,13.2,11.9,6.1,4,0,22.4,16,120,112,10
5,Jordan Poole,23,2,0,37,0.491,0.353,3.4,8.5,6.1,14.9,1.3,2,8.5,26.4,105,120,6.8
6,Kevon Looney,26,2,2,55,0.601,0.556,6.4,24.3,16,7,0.8,2.9,7.9,9.8,131,114,7.2
7,Draymond Green,32,2,2,65,0.47,0.409,3.5,17.3,11,30.4,2.2,1.1,38.5,13.6,96,114,7
8,Donte DiVincenzo,26,2,1,32,0.85,0.8,3.5,12.8,8.5,20.4,0,0,33.8,11.4,125,122,4.1
9,Jonathan Kuminga,20,2,0,14,0.546,0.5,9.2,0,4.3,12.4,3.4,0,21.5,28,92,120,2.1
10,Moses Moody,20,1,0,8,0.667,0.667,29.8,38.7,34.6,20.5,0,0,0,15.5,162,109,4.9
11,JaMychal Green,32,1,0,1,,,0,0,0,0,0,0,,0,,117,-0.4
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,